Action_ID,Date_Raised,Package,Cluster,Contractor,KPI_Area,Finding,Root_Cause,Immediate_Action,Preventive_Action,Action_Owner,Target_Date,Status,Close_Date,Days_Open,Overdue_Flag,Evidence_Link
20260326-Cluster2A-01-A1,2026-03-26T00:00:00,4,Cluster 2A,,Work at Height,"1. Leadership failure
2. Poor supervision
3. Poor sub-contractor control
4. PTW failure",Leadership failure,Unsafe work practices were suspended immediately. The CM of the cluster was called but he refused to visit the location.,"1. PTW must be controlled by the main contractor.
2. Close supervision of sub-contractors by main contractor shall be ensured.
3. Non-performing subcontractors shall not be paid and shall be removed from project.
4. Non-performing construction team shall be replaced without delays","1-3rd recommendation by the cluster CM
4th recommendation by the PD.",2026-04-02T00:00:00,Open,,11,YES,0
20260326-Cluster8A-01-A1,2026-03-26T00:00:00,2,Cluster 8A,,Scaffolding,No significant gap observed,Other,The team was commended for their visible leadership in driving transformation at Cluster 8A.,"The Construction Manager and his team were advised to ensure that sub-contractors do not mess up with their site. The following advise was given:
1. No payment for work if site condition is below the acceptable standard.
2. Close supervision of sub-contractors by the construction team of the main contractor.
3. Housekeeping shall be maintined for all shift.
4. Provide a temporary storage area for waste for each villa.
5. PTW shall remain under the control of the main contractor.","Construction Manager of Cluster 8A 
HSE Manager of TAJV",Always,Open,,11,NO,0
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,#REF!,#REF!,#REF!
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
,00:00:00,0,0,,0,,0,0,0,0,00:00:00,Open,,46118,YES,0
